Customer ID,Age,Gender,Income,Location
CUST-10294,34,Female,"$85,000","Seattle, WA"
CUST-10295,42,Male,"$112,500","Austin, TX"
CUST-10296,,Non-binary,"$64,000","Portland, OR"
CUST-10297,28,Female,"$92,000","New York, NY"
CUST-10298,55,Male,"$145,000","Chicago, IL"
CUST-10299,31,Male,"$78,000","San Francisco, CA"
CUST-10300,47,Female,"$120,000","Boston, MA"
CUST-10301,23,Female,"$48,000","Denver, CO"
CUST-10302,39,Male,"$105,000","Atlanta, GA"
CUST-10303,50,Female,"$135,000","Dallas, TX"
CUST-10304,29,Non-binary,"$82,000","Miami, FL"
CUST-10305,36,Male,"$95,000","Philadelphia, PA"
CUST-10306,44,Female,"$115,000","Phoenix, AZ"
CUST-10307,26,Male,"$62,000","San Diego, CA"
CUST-10308,58,Female,"$160,000","Minneapolis, MN"
